sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
28560701071,2020-08-22T07:20:00Z,70,21,17,32,66,57,0.13155080213903744
28548147824,2020-08-21T07:35:30Z,74,17,19,38,70,58,0.12659470068694798
28534134496,2020-08-20T07:17:30Z,79,18,20,41,88,57,0.1188118811881188
28521633156,2020-08-19T07:17:30Z,76,20,18,38,68,55,0.12561819980217606
28507468875,2020-08-18T07:27:30Z,70,16,21,33,23,57,0.13591160220994475
28476924872,2020-08-16T08:45:30Z,83,22,20,41,89,57,0.10581506196377502
28464557386,2020-08-15T06:54:00Z,76,22,18,36,97,56,0.12714776632302405
28452164867,2020-08-14T07:02:30Z,86,21,23,42,70,55,0.0738327904451683
28440882177,2020-08-13T06:48:30Z,82,20,22,40,86,57,0.09116809116809117
28408813901,2020-08-11T07:32:30Z,75,18,22,35,76,59,0.10852713178294573
28396691326,2020-08-10T07:30:30Z,83,21,22,40,46,58,0.09062821833161688
28385051510,2020-08-09T09:21:30Z,74,19,17,38,57,56,0.11907066795740562
28372513271,2020-08-08T07:49:30Z,76,21,17,38,69,54,0.10162162162162162
28360633634,2020-08-07T07:21:30Z,84,21,22,41,53,54,0.08206686930091185
28345365101,2020-08-06T07:39:30Z,79,21,20,38,82,53,0.07776560788608981
28330453904,2020-08-05T07:32:00Z,71,17,18,36,46,53,0.1103448275862069
28314302321,2020-08-04T07:25:30Z,84,21,22,41,47,55,0.07830687830687831
28296951996,2020-08-03T07:21:30Z,77,18,23,36,77,57,0.08248587570621468
28284481285,2020-08-02T08:15:30Z,88,21,21,46,68,57,0.057929724596391265
28271578325,2020-08-01T10:56:00Z,52,14,10,28,49,55,0.13502673796791445
28259576669,2020-07-31T07:02:30Z,76,17,22,37,47,55,0.09212121212121212
28244334903,2020-07-30T06:56:30Z,79,19,21,39,49,56,0.08425720620842572
28232955896,2020-07-29T07:12:30Z,81,21,20,40,87,54,0.08173562058526741
28219923819,2020-07-28T06:59:30Z,68,17,22,29,51,55,0.0904836193447738
28204339849,2020-07-27T07:15:30Z,83,20,22,41,44,56,0.09249743062692703
28192179337,2020-07-26T08:10:30Z,89,21,23,45,78,59,0.07427055702917772
28167944574,2020-07-24T07:20:00Z,81,18,22,41,95,59,0.07857142857142857
28151719141,2020-07-23T06:37:00Z,75,17,21,37,48,57,0.0929451287793953
28139567398,2020-07-22T07:02:30Z,83,21,21,41,75,58,0.10601719197707736
28124567152,2020-07-21T07:22:30Z,86,21,23,42,68,59,0.06514994829369183
28111956643,2020-07-20T07:09:30Z,76,21,21,34,55,61,0.12369942196531791
28097018470,2020-07-19T05:58:30Z,75,21,22,32,49,60,0.0915032679738562
28080838681,2020-07-18T07:43:30Z,82,21,21,40,66,60,0.09465791940018745
28073723225,2020-07-17T07:21:30Z,74,21,15,38,71,58,0.10300429184549356
28057800024,2020-07-16T06:32:30Z,79,20,23,36,30,61,0.07604562737642585
28043402129,2020-07-15T07:11:30Z,82,21,23,38,51,63,0.08690869086908691
28026270270,2020-07-14T07:14:30Z,80,21,22,37,52,65,0.08161044613710555
28014955545,2020-07-13T07:18:30Z,78,21,21,36,51,66,0.12195121951219512
28000964663,2020-07-12T07:10:30Z,79,21,17,41,74,63,0.08775313404050145
27988232211,2020-07-11T07:07:30Z,66,18,12,36,87,61,0.103831891223733
27976619225,2020-07-10T07:19:30Z,82,21,20,41,74,61,0.10298661174047374
27961293875,2020-07-09T07:30:00Z,75,21,20,34,62,59,0.1352405721716515
27946209277,2020-07-08T06:48:30Z,76,18,21,37,57,60,0.09790979097909791
27930703250,2020-07-07T07:07:30Z,81,19,23,39,22,61,0.09919261822376009
27911712185,2020-07-06T07:01:30Z,72,17,21,34,57,64,0.12557603686635946
27899336848,2020-07-05T07:58:30Z,79,21,19,39,72,61,0.1050228310502283
27890254648,2020-07-04T07:00:30Z,79,21,19,39,74,62,0.09225092250922509
27874800907,2020-07-03T07:25:00Z,81,21,22,38,68,62,0.08823529411764706
27863266586,2020-07-02T08:18:30Z,89,22,22,45,85,61,0.0778727445394112
27850271658,2020-07-01T07:16:30Z,77,20,21,36,31,62,0.10954063604240283
27834816545,2020-06-30T06:25:30Z,74,21,20,33,79,63,0.12131919905771496
27821142051,2020-06-29T05:45:00Z,67,16,21,30,30,62,0.11071428571428571
27808545173,2020-06-28T07:04:30Z,80,21,22,37,45,63,0.09727164887307237
27796088143,2020-06-27T07:47:30Z,84,23,20,41,116,63,0.09264565425023878
27784575684,2020-06-26T07:09:30Z,83,21,21,41,66,63,0.11962224554039874
27771308473,2020-06-25T07:26:30Z,78,22,20,36,89,63,0.088
27754430705,2020-06-24T06:46:30Z,81,21,21,39,44,63,0.06636155606407322
27742577614,2020-06-23T06:59:00Z,77,19,21,37,50,62,0.11198208286674133
27727950296,2020-06-22T06:55:30Z,75,20,20,35,39,64,0.1386696730552424
27713995946,2020-06-21T06:15:30Z,71,21,16,34,50,61,0.13580246913580246
27704804240,2020-06-20T08:23:30Z,67,17,13,37,77,60,0.07616974972796518
27693301306,2020-06-19T06:15:30Z,56,15,13,28,35,58,0.1130298273155416
27681105761,2020-06-18T06:45:00Z,81,21,21,39,84,60,0.0706401766004415
27666253925,2020-06-17T05:56:30Z,62,21,12,29,56,58,0.08968609865470852
27651441563,2020-06-16T07:13:30Z,76,18,22,36,58,59,0.08856088560885608
27637199642,2020-06-15T06:49:30Z,81,21,22,38,56,60,0.09163802978235967
27625092588,2020-06-14T06:42:00Z,77,18,21,38,77,59,0.1151219512195122
27610940747,2020-06-13T06:34:00Z,73,21,16,36,78,56,0.1084070796460177
